dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.812503,-2.599486,8.967204,9.402834,5.306324,0.374346,6.032319
0.020000,8.996719,-2.646758,9.157389,9.509215,5.319065,0.637051,6.031695
0.020000,9.182971,-2.694663,9.349703,9.615713,5.324877,0.290601,6.031202
0.020000,9.371271,-2.743180,9.544152,9.722478,5.338289,0.670601,6.030845
0.020000,9.561628,-2.792285,9.740741,9.829420,5.347098,0.440452,6.030628
0.020000,9.754053,-2.841954,9.939473,9.936598,5.358877,0.588931,6.030554
0.020000,9.948538,-2.892155,10.140333,10.043009,5.320577,-1.914988,6.030627
0.020000,10.145058,-2.942849,10.343286,10.147671,5.233084,-4.374625,6.030853
0.020000,10.343587,-2.993998,10.548298,10.250603,5.146609,-4.323749,6.031236
0.020000,10.544100,-3.045558,10.755334,10.351787,5.059160,-4.372477,6.031780
0.020000,10.746572,-3.097487,10.964359,10.451240,4.972690,-4.323509,6.032490
0.020000,10.950978,-3.149740,11.175338,10.548976,4.886782,-4.295385,6.033371
0.020000,11.157297,-3.202267,11.388239,10.645004,4.801399,-4.269153,6.034428
0.020000,11.365504,-3.255022,11.603025,10.739334,4.716505,-4.244674,6.035668
0.020000,11.575578,-3.307951,11.819665,10.831975,4.632069,-4.221807,6.037094
0.020000,11.787497,-3.361003,12.038124,10.922937,4.548061,-4.200402,6.038713
0.020000,12.001240,-3.414121,12.258368,11.012226,4.464455,-4.180300,6.040531
0.020000,12.216787,-3.467248,12.480365,11.099850,4.381229,-4.161333,6.042554
0.020000,12.434118,-3.520324,12.704084,11.185932,4.304089,-3.856970,6.044789
0.020000,12.653215,-3.573288,12.929491,11.270368,4.221776,-4.115674,6.047243
0.020000,12.874056,-3.626074,13.156553,11.353108,4.137040,-4.236778,6.049922
0.020000,13.096625,-3.678616,13.385240,11.434356,4.062382,-3.732890,6.052836
0.020000,13.320907,-3.730844,13.615523,11.514113,3.987835,-3.727341,6.055990
0.020000,13.546879,-3.782685,13.847365,11.592107,3.899695,-4.407032,6.059395
0.020000,13.774532,-3.834066,14.080744,11.668966,3.842964,-2.836522,6.063059
0.020000,14.003842,-3.884906,14.315623,11.743932,3.748311,-4.732668,6.066991
0.020000,14.234801,-3.935127,14.551979,11.817801,3.693440,-2.743553,6.071201
0.020000,14.467390,-3.984642,14.789779,11.890028,3.611345,-4.104762,6.075700
0.020000,14.701591,-4.033364,15.028995,11.960788,3.538021,-3.666190,6.080499
0.020000,14.937398,-4.081203,15.269606,12.030551,3.488149,-2.493576,6.085608
0.020000,15.174792,-4.128062,15.511580,12.098715,3.408173,-3.998835,6.091042
0.020000,15.413758,-4.173843,15.754892,12.165589,3.343693,-3.224005,6.096811
0.020000,15.654283,-4.218441,15.999517,12.231247,3.282929,-3.038165,6.102932
0.020000,15.896354,-4.261751,16.245432,12.295728,3.224027,-2.945126,6.109416
0.020000,16.139957,-4.303659,16.492613,12.359067,3.166981,-2.852309,6.116281
0.020000,16.385078,-4.344048,16.741039,12.421303,3.111786,-2.759717,6.123542
0.020000,16.631702,-4.382795,16.990688,12.482472,3.058439,-2.667361,6.131217
0.020000,16.879814,-4.419774,17.241541,12.542611,3.006934,-2.575269,6.139322
0.020000,17.129396,-4.454849,17.493576,12.601756,2.957264,-2.483494,6.147878
0.020000,17.380431,-4.487880,17.746775,12.659944,2.909421,-2.392117,6.156904
0.020000,17.632898,-4.518723,18.001119,12.717212,2.863396,-2.301267,6.166421
0.020000,17.886787,-4.547224,18.256602,12.774159,2.847363,-0.801657,6.176451
0.020000,18.142063,-4.573222,18.513199,12.829843,2.784193,-3.158511,6.187016
0.020000,18.398702,-4.596550,18.770896,12.884852,2.750434,-1.687926,6.198142
0.020000,18.656684,-4.617034,19.029689,12.939668,2.740783,-0.482564,6.209852
0.020000,18.915962,-4.634489,19.289555,12.993266,2.679904,-3.043960,6.222173
0.020000,19.176512,-4.648725,19.550494,13.046952,2.684311,0.220357,6.235131
0.020000,19.438282,-4.659541,19.812487,13.099663,2.635544,-2.438327,6.248753
0.020000,19.701222,-4.666729,20.075525,13.151878,2.610735,-1.240463,6.263067
0.020000,19.965284,-4.670071,20.339608,13.204175,2.614893,0.207875,6.278103
0.020000,20.230393,-4.669342,20.604718,13.255507,2.566575,-2.415902,0.010701
0.020000,20.496474,-4.664307,20.870847,13.306433,2.546324,-1.012519,0.027262
0.020000,20.763440,-4.654723,21.137985,13.356902,2.523439,-1.144281,0.044627
0.020000,21.031191,-4.640342,21.406122,13.406834,2.496576,-1.343109,0.062823
0.020000,21.299611,-4.620906,21.675244,13.456118,2.464210,-1.618302,0.081873
