dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.937195,0.095572,7.024960,8.172605,4.739683,-0.399820,6.053082
0.020000,7.098141,0.057687,7.190304,8.267246,4.732049,-0.381693,6.050941
0.020000,7.260846,0.019028,7.357539,8.361741,4.724715,-0.366698,6.048891
0.020000,7.425309,-0.020398,7.526661,8.456093,4.717616,-0.354963,6.046934
0.020000,7.591527,-0.060580,7.697667,8.550307,4.710684,-0.346616,6.045073
0.020000,7.759500,-0.101508,7.870555,8.644383,4.703848,-0.341792,6.043310
0.020000,7.929228,-0.143172,8.045321,8.738324,4.697035,-0.340632,6.041647
0.020000,8.100709,-0.185560,8.221964,8.832128,4.690170,-0.343280,6.040089
0.020000,8.273944,-0.228658,8.400480,8.925791,4.683172,-0.349889,6.038636
0.020000,8.448934,-0.272452,8.580866,9.019310,4.675959,-0.360619,6.037293
0.020000,8.625676,-0.316927,8.763119,9.112638,4.666396,-0.478174,6.036062
0.020000,8.804173,-0.362066,8.947234,9.205767,4.656454,-0.497086,6.034946
0.020000,8.984425,-0.407852,9.133211,9.298822,4.652749,-0.185240,6.033948
0.020000,9.166433,-0.454266,9.321044,9.391660,4.641900,-0.542482,6.033071
0.020000,9.350199,-0.501287,9.510730,9.484288,4.631395,-0.525261,6.032319
0.020000,9.535724,-0.548895,9.702265,9.576798,4.625472,-0.296122,6.031695
0.020000,9.723009,-0.597065,9.895646,9.669033,4.611788,-0.684215,6.031202
0.020000,9.912057,-0.645775,10.090869,9.761131,4.604905,-0.344142,6.030845
0.020000,10.102870,-0.694998,10.287928,9.852981,4.592471,-0.621714,6.030628
0.020000,10.295450,-0.744707,10.486821,9.944621,4.582019,-0.522588,6.030554
0.020000,10.489782,-0.794868,10.687521,10.035031,4.520483,-3.076802,6.030627
0.020000,10.685828,-0.845440,10.889986,10.123212,4.409067,-5.570821,6.030853
0.020000,10.883555,-0.896382,11.094169,10.209173,4.298056,-5.550506,6.031236
0.020000,11.082926,-0.947649,11.300027,10.292881,4.185387,-5.633472,6.031780
0.020000,11.283908,-0.999196,11.507514,10.374339,4.072923,-5.623188,6.032490
0.020000,11.486466,-1.050976,11.716584,10.453543,3.960160,-5.638148,6.033371
0.020000,11.690564,-1.102939,11.927194,10.530482,3.846969,-5.659577,6.034428
