dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.590788,0.745413,7.600149,8.044311,2.650883,-6.231965,6.260730
0.020000,7.752654,0.742106,7.762049,8.094997,2.534317,-5.828257,6.264826
0.020000,7.915492,0.739468,7.924909,8.143001,2.400184,-6.706657,6.269189
0.020000,8.079253,0.737552,8.088681,8.188612,2.280577,-5.980379,6.273828
0.020000,8.243880,0.736414,8.253312,8.231546,2.146683,-6.694669,6.278756
0.020000,8.409322,0.736109,8.418754,8.272105,2.027928,-5.937780,0.000796
0.020000,8.575519,0.736697,8.584952,8.309901,1.889839,-6.904462,0.006331
0.020000,8.742414,0.738238,8.751854,8.345110,1.760429,-6.470483,0.012187
0.020000,8.909949,0.740794,8.919409,8.377723,1.630644,-6.489220,0.018376
0.020000,9.078064,0.744429,9.087563,8.407703,1.499024,-6.581009,0.024910
0.020000,9.246695,0.749207,9.256261,8.434925,1.361103,-6.896086,0.031804
0.020000,9.415777,0.755196,9.425450,8.459429,1.225169,-6.796701,0.039070
0.020000,9.585245,0.762465,9.595074,8.481178,1.087484,-6.884237,0.046722
0.020000,9.755031,0.771083,9.765078,8.500233,0.952729,-6.737754,0.054775
0.020000,9.925064,0.781122,9.935407,8.516431,0.809924,-7.140259,0.063244
0.020000,10.095269,0.792656,10.106002,8.529755,0.666176,-7.187395,0.072145
0.020000,10.265569,0.805758,10.276806,8.540186,0.521542,-7.231691,0.081493
0.020000,10.435891,0.820504,10.447765,8.547969,0.389179,-6.618131,0.091306
0.020000,10.606149,0.836970,10.618817,8.552587,0.230882,-7.914874,0.101600
0.020000,10.776261,0.855233,10.789906,8.554479,0.094583,-6.814925,0.112391
0.020000,10.946136,0.875372,10.960972,8.553265,-0.060683,-7.763316,0.123699
0.020000,11.115690,0.897466,11.131959,8.549355,-0.195490,-6.740345,0.135539
0.020000,11.284824,0.921591,11.302804,8.542286,-0.353460,-7.898480,0.147930
0.020000,11.453441,0.947828,11.473451,8.532325,-0.498071,-7.230579,0.160889
0.020000,11.621445,0.976254,11.643843,8.519586,-0.636919,-6.942379,0.174433
0.020000,11.788730,1.006946,11.813920,8.503859,-0.786347,-7.471427,0.188579
0.020000,11.955189,1.039980,11.983625,8.485271,-0.929417,-7.153507,0.203343
0.020000,12.120714,1.075430,12.152903,8.463896,-1.068748,-6.966526,0.218740
0.020000,12.285190,1.113370,12.321699,8.439799,-1.204865,-6.805830,0.234784
0.020000,12.448505,1.153869,12.489960,8.413063,-1.336780,-6.595762,0.251486
0.020000,12.610541,1.196993,12.657636,8.383795,-1.463391,-6.330580,0.268856
0.020000,12.771178,1.242805,12.824679,8.352125,-1.583492,-6.005007,0.286902
0.020000,12.930299,1.291366,12.991045,8.318290,-1.691789,-5.414868,0.305630
0.020000,13.087771,1.342725,13.156680,8.281757,-1.826628,-6.741937,0.325038
0.020000,13.243461,1.396926,13.321535,8.242765,-1.949578,-6.147534,0.345122
0.020000,13.397251,1.454013,13.485578,8.202170,-2.029787,-4.010433,0.365876
0.020000,13.549025,1.514022,13.648785,8.160325,-2.092218,-3.121552,0.387288
0.020000,13.698666,1.576981,13.811132,8.117343,-2.149133,-2.845771,0.409340
0.020000,13.846064,1.642914,13.972603,8.073583,-2.187980,-1.942332,0.432010
0.020000,13.991111,1.711835,14.133193,8.029455,-2.206391,-0.920559,0.455270
